trial_id,pair_or_basket,method,sample,exit_reason,trades,gross_bps,cost_bps,net_bps
110,XLK-APH,baseline,train,eod,27,21.88636823748128,64.94268453210327,-43.056316294622
110,XLK-APH,baseline,train,max_hold,75,-62.69018601676815,226.2188437236072,-288.90902974037533
110,XLK-APH,baseline,train,reversion,12,89.19869921175126,59.51729813148134,29.68140108026992
110,XLK-APH,baseline,train,stop_loss,122,-518.0373771059654,542.3196522111556,-1060.357029317121
110,XLK-APH,baseline,validation,eod,6,15.15946450131572,26.46895270216088,-11.309488200845161
110,XLK-APH,baseline,validation,max_hold,19,10.330001010518076,77.96369173614926,-67.63369072563115
110,XLK-APH,baseline,validation,reversion,4,36.13661135403596,10.981082958265985,25.15552839576998
110,XLK-APH,baseline,validation,stop_loss,14,-66.54012011735476,87.55029360805686,-154.0904137254116
110,XLK-APH,baseline,test,eod,23,-26.834203710299054,119.39942293238174,-146.23362664268075
110,XLK-APH,baseline,test,max_hold,70,39.62695003611801,236.85421828300008,-197.22726824688206
110,XLK-APH,baseline,test,reversion,5,65.12577911305536,14.936756444085658,50.189022668969706
111,XLK-APH,baseline,train,eod,26,26.348014462813627,58.57358954051272,-32.225575077699105
111,XLK-APH,baseline,train,max_hold,80,-65.9365438940483,271.42488942631854,-337.36143332036687
111,XLK-APH,baseline,train,reversion,12,89.19869921175126,59.51729813148134,29.68140108026992
111,XLK-APH,baseline,validation,eod,6,15.15946450131572,26.46895270216088,-11.309488200845161
111,XLK-APH,baseline,validation,max_hold,20,14.592167849331746,79.19428841005217,-64.60212056072041
111,XLK-APH,baseline,validation,reversion,4,36.13661135403596,10.981082958265985,25.15552839576998
111,XLK-APH,baseline,test,eod,23,-26.834203710299054,119.39942293238174,-146.23362664268075
111,XLK-APH,baseline,test,max_hold,70,39.62695003611801,236.85421828300008,-197.22726824688206
111,XLK-APH,baseline,test,reversion,5,65.12577911305536,14.936756444085658,50.189022668969706
112,XLK-APH,baseline,train,eod,12,5.433689074176882,44.372751459105814,-38.93906238492894
112,XLK-APH,baseline,train,max_hold,44,-14.419512071784375,140.4806055322219,-154.90011760400628
112,XLK-APH,baseline,train,reversion,6,39.9653325516963,33.47180933139262,6.493523220303678
112,XLK-APH,baseline,train,stop_loss,122,-518.0373771059654,542.3196522111556,-1060.357029317121
112,XLK-APH,baseline,validation,eod,3,15.868025203665516,23.240828548421163,-7.372803344755647
112,XLK-APH,baseline,validation,max_hold,11,9.143599786439722,20.648556780103064,-11.50495699366334
112,XLK-APH,baseline,validation,reversion,1,5.909422472810833,1.3359007481370022,4.573521724673831
112,XLK-APH,baseline,validation,stop_loss,14,-66.54012011735476,87.55029360805686,-154.0904137254116
112,XLK-APH,baseline,test,eod,13,-25.33849190909067,75.8337363964291,-101.17222830551977
112,XLK-APH,baseline,test,max_hold,43,5.816796087284743,144.93526589825734,-139.1184698109726
112,XLK-APH,baseline,test,reversion,1,4.013353575587075,2.08782196993084,1.9255316056562353
