pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,execution_model,sample,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,-1,-1.0,actual_bidask_fills,test,1590.376290226363,2360.801813627571,-770.425523401208,49,98.0,0.4489795918367347,133.0612244897959,-981.2491115481325,-1.4100012136180564
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,30,-1.0,actual_bidask_fills,train,277.53480061210036,1053.1243567625825,-775.5895561504822,170,340.0,0.4117647058823529,27.91764705882353,-864.4203302462828,-2.12248098461567
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,30,-1.0,actual_bidask_fills,validation,725.4938523733933,1490.9522591037837,-765.4584067303905,137,272.0,0.4744525547445255,27.27007299270073,-970.7273840639541,-1.543329063229676
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,30,-1.0,actual_bidask_fills,test,1958.801319410215,3271.612343007568,-1312.8110235973534,226,452.0,0.40707964601769914,26.924778761061948,-1472.9861520700106,-2.3860218101813038
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,60,-1.0,actual_bidask_fills,train,325.3709171183772,831.3497113564683,-505.9787942380911,94,188.0,0.4148936170212766,51.787234042553195,-606.3670842605973,-1.314933412785686
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,60,-1.0,actual_bidask_fills,validation,627.184118853874,1094.176937648097,-466.99281879422296,78,156.0,0.46153846153846156,49.51282051282051,-791.5582153774282,-0.9752446762349127
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,60,-1.0,actual_bidask_fills,test,1925.1914929531467,3061.2631102858854,-1136.071617332739,136,270.0,0.38235294117647056,46.25735294117647,-1352.230636468077,-2.193312594849626
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,120,-1.0,actual_bidask_fills,train,348.76222964385306,727.6401941152333,-378.8779644713802,58,114.0,0.4482758620689655,85.62068965517241,-480.91744353001786,-1.111559378840772
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,120,-1.0,actual_bidask_fills,validation,758.7331708223122,1010.2315697216025,-251.49839889929027,50,100.0,0.58,80.44,-604.1733856838505,-0.5234310953328558
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,120,-1.0,actual_bidask_fills,test,1442.4374143498576,2695.7607526758134,-1253.3233383259558,85,170.0,0.4117647058823529,74.91764705882353,-1484.2517763092821,-2.074489477017453
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,240,-1.0,actual_bidask_fills,train,323.4214889461473,639.6351111881238,-316.21362224197645,39,78.0,0.5641025641025641,133.51282051282053,-443.75674902782157,-0.9272089891506899
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,240,-1.0,actual_bidask_fills,validation,729.7356130798072,957.1170577867072,-227.38144470690003,34,68.0,0.6176470588235294,123.11764705882354,-582.669152212656,-0.43260521760677806
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.5,240,-1.0,actual_bidask_fills,test,1562.8559289939492,2419.9942707668765,-857.1383417729272,60,120.0,0.43333333333333335,107.36666666666666,-1026.8818684368598,-1.5423443002551789
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.75,-1,-1.0,actual_bidask_fills,train,481.7599190749355,685.5925595125534,-203.83264043761784,37,74.0,0.6486486486486487,132.05405405405406,-376.7822741289706,-0.6706688653642249
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.75,-1,-1.0,actual_bidask_fills,validation,700.3617162429432,976.1599944941146,-275.79827825117144,29,58.0,0.6206896551724138,131.06896551724137,-550.5809247296955,-0.6325244423339922
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.75,-1,-1.0,actual_bidask_fills,test,2046.458137149445,2840.8733603984615,-794.4152232490164,69,138.0,0.5217391304347826,88.68115942028986,-976.1110705491483,-1.4806107835282762
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.75,30,-1.0,actual_bidask_fills,train,360.35647764047775,1142.3923674873304,-782.0358898468527,173,346.0,0.4393063583815029,26.6878612716763,-856.7161915985632,-2.1654807434197654
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.75,30,-1.0,actual_bidask_fills,validation,753.9794637586716,1514.3172522115922,-760.3377884529206,137,272.0,0.4744525547445255,26.59124087591241,-931.1280125211052,-1.5105109737839122
XLK-AAPL,AAPL,0.027742057074438543,1.0,0.75,30,-1.0,actual_bidask_fills,test,2100.4070803136888,3479.063018583641,-1378.6559382699527,233,466.0,0.4248927038626609,25.29184549356223,-1540.8299368731005,-2.5046242181385656
