trial_id,strategy_family,universe,pair_or_basket,method,signal,hedge_method,execution_mode,passive_fill_prob,adverse_selection_bps,entry_z,exit_z,max_hold,z_stop,beta,adf_p,ou_half_life_minutes,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_cost_share,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_cost_share,test_2x_cost_net_bps,test_latency1_net_bps,sharpe,dsr_pvalue,selected_flag,gate_selected_flag,skip_reason
479,pair_trading,XLK_top20_cleaned,XLK-IBM,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,4.0,0.09888069889352176,0.5055174067090747,234.20610087538304,-340.429107065518,118.72510566047853,-459.1542127259965,88.0,0.348751335289403,-1010.6744664475134,404.0295241463901,-1414.7039905939034,285.0,0.3997622751532847,-1818.733514740294,-1714.6929110782166,-5.0432281766771565,1.0,False,False,
480,pair_trading,XLK_top20_cleaned,XLK-IBM,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,,0.09888069889352176,0.5055174067090747,234.20610087538304,-267.8563668833549,106.85152608145474,-374.7078929648094,88.0,0.39891351967745475,-866.3939588877284,432.7854484940896,-1299.179407381818,289.0,0.4995250071338183,-1731.9648558759077,-1797.8055830147068,-4.635271625427083,1.0,False,False,
481,pair_trading,XLK_top20_cleaned,XLK-IBM,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,4.0,0.09888069889352176,0.5055174067090747,234.20610087538304,-172.4822724657915,52.336861768575474,-224.81913423436708,56.0,0.3034332805358618,130.98839633495575,273.0343180018326,-142.0459216668768,195.0,2.084416067692328,-415.0802396687096,-522.761990484556,-0.5856518816269688,1.0,False,False,
482,pair_trading,XLK_top20_cleaned,XLK-IBM,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.09888069889352176,0.5055174067090747,234.20610087538304,-0.45576583958373273,93.56946282997465,-94.0252286695583,60.0,205.3016147841071,66.42873166083037,279.73346681971043,-213.30473515888002,197.0,4.211031278573319,-493.03820197859045,-473.9014271049863,-0.882917707631099,1.0,True,False,
483,pair_trading,XLK_top20_cleaned,XLK-IBM,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,4.0,0.09888069889352176,0.5055174067090747,234.20610087538304,-136.2468694108334,61.38101384369196,-197.6278832545253,36.0,0.4505132052510219,170.2518684119828,128.05467340124713,42.19719501073558,99.0,0.7521484174926933,-85.85747839051156,-168.53989421729338,0.23266236534757495,1.0,False,False,
484,pair_trading,XLK_top20_cleaned,XLK-IBM,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.09888069889352176,0.5055174067090747,234.20610087538304,-64.88005714288884,73.83961042582582,-138.7196675687146,36.0,1.1380941028335545,-35.513107944892475,89.64719754979242,-125.16030549468479,93.0,2.5243410880540957,-214.8075030444774,-410.76489683498016,-0.7085743695901232,1.0,False,False,
485,pair_trading,XLK_top20_cleaned,XLK-ADI,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,4.0,0.14886946846089452,0.5528604935240394,221.44008876002798,-423.1405217911098,187.07729854037444,-610.2178203314842,84.0,0.44211624485524503,-986.6687852454843,558.2699758836833,-1544.9387611291677,277.0,0.5658129498287362,-2103.2087370128506,-2436.9850287071,-5.62696049052893,1.0,False,False,
486,pair_trading,XLK_top20_cleaned,XLK-ADI,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,,0.14886946846089452,0.5528604935240394,221.44008876002798,-410.83089172023875,171.74650655099074,-582.5773982712295,82.0,0.4180467194953393,-1008.8321853102672,607.9937639084876,-1616.8259492187549,279.0,0.6026708631639252,-2224.8197131272423,-2259.1716577646052,-5.883390117167593,1.0,False,False,
487,pair_trading,XLK_top20_cleaned,XLK-ADI,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,4.0,0.14886946846089452,0.5528604935240394,221.44008876002798,-188.42322373362546,108.48243756810726,-296.90566130173283,58.0,0.5757381463840637,-137.89035766275367,375.0382412880326,-512.9285989507861,197.0,2.719829345901655,-887.9668402388189,-1092.23349078098,-2.134648350727605,1.0,False,False,
488,pair_trading,XLK_top20_cleaned,XLK-ADI,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.14886946846089452,0.5528604935240394,221.44008876002798,-154.09269781916873,123.41417398459176,-277.5068718037604,56.0,0.8009086461022383,-418.76123723840163,421.8215178866794,-840.5827551250809,195.0,1.0073079367814923,-1262.40427301176,-1419.0743386639365,-3.5073092183783587,1.0,False,False,
