stock,spread_type,beta,policy,wait_min,latency_min,entry_z,exit_z,min_edge_bps,val_trades,val_gross_bps,val_cost_bps,val_net_bps,test_trades,test_gross_bps,test_cost_bps,test_net_bps,test_avg_net_per_trade_bps
INTC,cum_residual_return,0.15600245164790402,taker,1,0,1.5,0.0,25.0,12,-70.68443966978347,91.35046312602731,-162.03490279581078,42,749.9535061752711,286.0158277447017,463.93767843056935,11.046135200727841
INTC,cum_residual_return,0.15600245164790402,taker,1,0,1.5,0.5,0.0,12,-114.6984498927896,89.7309573280578,-204.4294072208474,45,511.1776107223015,329.72796413090595,181.44964659139555,4.032214368697679
INTC,cum_residual_return,0.15600245164790402,taker,1,0,1.5,0.5,25.0,12,-114.6984498927896,89.7309573280578,-204.4294072208474,45,511.1776107223015,329.72796413090595,181.44964659139555,4.032214368697679
INTC,cum_residual_return,0.15600245164790402,taker,1,0,2.0,0.0,0.0,8,16.673911695763522,53.15162162304338,-36.47770992727986,24,495.02006531875327,178.99033213442306,316.0297331843302,13.167905549347092
INTC,cum_residual_return,0.15600245164790402,taker,1,0,2.0,0.0,25.0,8,16.673911695763522,53.15162162304338,-36.47770992727986,24,495.02006531875327,178.99033213442306,316.0297331843302,13.167905549347092
INTC,cum_residual_return,0.15600245164790402,taker,1,0,2.0,0.5,0.0,8,16.673911695763522,53.15162162304338,-36.47770992727986,24,334.30854246513996,188.59699144325046,145.7115510218895,6.071314625912063
INTC,cum_residual_return,0.15600245164790402,taker,1,0,2.0,0.5,25.0,8,16.673911695763522,53.15162162304338,-36.47770992727986,24,334.30854246513996,188.59699144325046,145.7115510218895,6.071314625912063
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,1.0,0.0,0.0,13,-114.42312315045349,174.3869165909108,-288.8100397413643,45,164.43564531188534,547.6180073901614,-383.18236207827607,-8.515163601739468
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,1.0,0.0,25.0,13,-114.42312315045349,174.3869165909108,-288.8100397413643,45,164.43564531188534,547.6180073901614,-383.18236207827607,-8.515163601739468
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,1.0,0.5,0.0,13,-101.00887874824959,161.48151528309955,-262.4903940313491,50,34.14271423786343,584.691116229638,-550.5484019917747,-11.010968039835493
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,1.0,0.5,25.0,13,-101.00887874824959,161.48151528309955,-262.4903940313491,50,34.14271423786343,584.691116229638,-550.5484019917747,-11.010968039835493
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,1.5,0.0,0.0,11,-23.14111161956842,131.2483401897969,-154.3894518093653,31,272.6656542432183,335.38309315243356,-62.717438909215275,-2.0231431906198476
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,1.5,0.0,25.0,11,-23.14111161956842,131.2483401897969,-154.3894518093653,31,272.6656542432183,335.38309315243356,-62.717438909215275,-2.0231431906198476
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,1.5,0.5,0.0,11,-4.776496409907395,129.84975636029236,-134.62625277019976,31,72.46124603947476,344.4588067202069,-271.99756068073214,-8.774114860668778
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,1.5,0.5,25.0,11,-4.776496409907395,129.84975636029236,-134.62625277019976,31,72.46124603947476,344.4588067202069,-271.99756068073214,-8.774114860668778
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,2.0,0.0,0.0,6,36.91008951152413,84.47294806665886,-47.562858555134724,19,264.0983221130924,197.02338224429613,67.07493986879629,3.5302599930945417
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,2.0,0.0,25.0,6,36.91008951152413,84.47294806665886,-47.562858555134724,19,264.0983221130924,197.02338224429613,67.07493986879629,3.5302599930945417
INTC,cum_residual_return,0.15600245164790402,maker_skip,1,0,2.0,0.5,0.0,6,36.91008951152413,84.47294806665886,-47.562858555134724,19,160.30926880398007,187.41947606133016,-27.11020725735009,-1.4268530135447417
